,url,name,price,stock
0,https://www.bol.com/nl/nl/p/samsung-ls24r350-full-hd-ips-monitor-24-inch/9200000121257763/,"Samsung LS24R350 - Full HD IPS Monitor - 24 Inch
2","145
  -","Op voorraad
"
1,https://www.bol.com/nl/nl/p/qumax-portable-monitor-proscreen-2-0-15-6-inch-draagbare-monitor-full-hd-hdmi-usb-c-inclusief-hoes-standaard-multifunctioneel-ingebouwde-speakers/9300000105042095/,Qumax Portable Monitor PROscreen 2.0 – 15.6 inch D,"199
  95","Op voorraad
"
2,https://www.bol.com/nl/nl/p/samsung-odyssey-g9-neo-qhd-mini-led-curved-ultrawide-240hz-gaming-monitor-hdmi-2-1-49-inch/9300000045642554/,Samsung Odyssey G9 Neo - QHD Mini LED Curved Ultra,"1799
  -","Op voorraad
"
3,https://www.bol.com/nl/nl/p/msi-optix-g24c4-full-hd-va-curved-144hz-gaming-monitor-24-inch/9200000130373373/,MSI Optix G24C4 - Full HD VA Curved 144Hz Gaming M,"179
  -","1 - 2 weken
"
4,https://www.bol.com/nl/nl/p/msi-optix-g241v-e2-full-hd-ips-75hz-gaming-monitor-24-inch/9300000015820710/,MSI Optix G241V E2 - Full HD IPS 75Hz Gaming Monit,"139
  -","Op voorraad
"
5,https://www.bol.com/nl/nl/p/lg-27gp850-ultragear-qhd-nano-ips-165hz-gaming-monitor-27-inch/9300000033078570/,LG 27GP850 Ultragear - QHD Nano IPS 165Hz Gaming M,"379
  -","Op voorraad
"
6,https://www.bol.com/nl/nl/p/lg-29wp500-full-hd-ips-ultrawide-monitor-29-inch/9300000032980575/,LG 29WP500 - Full HD IPS UltraWide Monitor - 29 In,"196
  99","Op voorraad
"
7,https://www.bol.com/nl/nl/p/samsung-ls24r650-full-hd-ips-monitor-24-inch/9200000125003539/,"Samsung LS24R650 - Full HD IPS Monitor - 24 Inch
M","189
  -","Op voorraad
"
8,https://www.bol.com/nl/nl/p/samsung-s32am704ur-4k-va-smart-usb-c-monitor-65w-32-inch/9300000027819400/,Samsung S32AM704UR - 4K VA Smart USB-C Monitor - 6,"339
  -","Op voorraad
"
9,https://www.bol.com/nl/nl/p/msi-optix-g27c4-full-hd-va-curved-165hz-gaming-monitor-27-inch/9200000123494764/,MSI Optix G27C4 - Full HD VA Curved 165Hz Gaming M,"209
  -","Op voorraad
"
10,https://www.bol.com/nl/nl/p/msi-optix-g24c6-full-hd-gaming-monitor/9300000016569237/,MSI Optix G24C6 - Full HD Gaming Monitor,"169
  -","Op voorraad
"
11,https://www.bol.com/nl/nl/p/lg-27ul500-4k-ips-monitor-27-inch/9200000104161889/,"LG 27UL500 - 4K IPS Monitor - 27 Inch
De ideale 4K","258
  -","Op voorraad
"
